woord,score,lengte,lengte_punten,tweeklanken,heeft_ch,heeft_sch,lettergrepen_schatting,medeklinkerclusters,zeldzame_letter,frequentie
oordruppels,10.5,11,5.5,1,nee,nee,3,1,nee,2
wachtkamer,9.5,10,5.0,0,ja,nee,3,1,nee,2
ontsteking,8.0,10,5.0,0,nee,nee,3,1,nee,2
huisarts,8.0,8,4.0,1,nee,nee,2,1,nee,2
zachtjes,7.5,8,4.0,0,ja,nee,2,1,nee,1
oorpijn,7.5,7,3.5,2,nee,nee,2,0,nee,2
apotheek,7.0,8,4.0,1,nee,nee,3,0,nee,2
achter,6.5,6,3.0,0,ja,nee,2,1,nee,1
kijkt,6.5,5,2.5,1,nee,nee,1,1,nee,1
lacht,6.0,5,2.5,0,ja,nee,1,1,nee,1
nacht,6.0,5,2.5,0,ja,nee,1,1,nee,1
wacht,6.0,5,2.5,0,ja,nee,1,1,nee,1
assistent,5.5,9,4.5,0,nee,nee,3,0,nee,1
begroet,5.5,7,3.5,1,nee,nee,2,0,nee,1
gebruik,5.5,7,3.5,1,nee,nee,2,0,nee,1
mevrouw,5.5,7,3.5,1,nee,nee,2,0,nee,2
vandaag,5.5,7,3.5,1,nee,nee,2,0,nee,1
gevoel,5.0,6,3.0,1,nee,nee,2,0,nee,1
jullie,5.0,6,3.0,1,nee,nee,2,0,nee,1
kijken,5.0,6,3.0,1,nee,nee,2,0,nee,1
kleine,5.0,6,3.0,1,nee,nee,2,0,nee,1
meneer,5.0,6,3.0,1,nee,nee,2,0,nee,1
slaapt,5.0,6,3.0,1,nee,nee,1,0,nee,1
jazeker,4.5,7,3.5,0,nee,nee,3,0,nee,1
balie,4.5,5,2.5,1,nee,nee,2,0,nee,2
bleek,4.5,5,2.5,1,nee,nee,1,0,nee,1
erbij,4.5,5,2.5,1,nee,nee,2,0,nee,1
graag,4.5,5,2.5,1,nee,nee,1,0,nee,1
huilt,4.5,5,2.5,1,nee,nee,1,0,nee,1
klaar,4.5,5,2.5,1,nee,nee,1,0,nee,1
neemt,4.5,5,2.5,1,nee,nee,1,0,nee,1
roept,4.5,5,2.5,1,nee,nee,1,0,nee,3
stoel,4.5,5,2.5,1,nee,nee,1,0,nee,1
thuis,4.5,5,2.5,1,nee,nee,1,0,nee,2
voelt,4.5,5,2.5,1,nee,nee,1,0,nee,1
wordt,4.5,5,2.5,0,nee,nee,1,1,nee,2
druppels,4.0,8,4.0,0,nee,nee,2,0,nee,3
beer,4.0,4,2.0,1,nee,nee,1,0,nee,4
blij,4.0,4,2.0,1,nee,nee,1,0,nee,1
daar,4.0,4,2.0,1,nee,nee,1,0,nee,1
doet,4.0,4,2.0,1,nee,nee,1,0,nee,2
door,4.0,4,2.0,1,nee,nee,1,0,nee,2
fijn,4.0,4,2.0,1,nee,nee,1,0,nee,2
gaan,4.0,4,2.0,1,nee,nee,1,0,nee,2
gaat,4.0,4,2.0,1,nee,nee,1,0,nee,1
geen,4.0,4,2.0,1,nee,nee,1,0,nee,1
goed,4.0,4,2.0,1,nee,nee,1,0,nee,1
haal,4.0,4,2.0,1,nee,nee,1,0,nee,1
haar,4.0,4,2.0,1,nee,nee,1,0,nee,3
heel,4.0,4,2.0,1,nee,nee,1,0,nee,2
hoor,4.0,4,2.0,1,nee,nee,1,0,nee,1
huis,4.0,4,2.0,1,nee,nee,1,0,nee,1
keer,4.0,4,2.0,1,nee,nee,1,0,nee,1
maak,4.0,4,2.0,1,nee,nee,1,0,nee,2
maar,4.0,4,2.0,1,nee,nee,1,0,nee,2
mijn,4.0,4,2.0,1,nee,nee,1,0,nee,1
muis,4.0,4,2.0,1,nee,nee,1,0,nee,1
naam,4.0,4,2.0,1,nee,nee,1,0,nee,1
naar,4.0,4,2.0,1,nee,nee,1,0,nee,4
niet,4.0,4,2.0,1,nee,nee,1,0,nee,1
pijn,4.0,4,2.0,1,nee,nee,1,0,nee,1
weer,4.0,4,2.0,1,nee,nee,1,0,nee,2
zich,3.5,4,2.0,0,ja,nee,1,0,nee,1
bij,3.5,3,1.5,1,nee,nee,1,0,nee,3
die,3.5,3,1.5,1,nee,nee,1,0,nee,1
een,3.5,3,1.5,1,nee,nee,1,0,nee,4
koe,3.5,3,1.5,1,nee,nee,1,0,nee,2
mee,3.5,3,1.5,1,nee,nee,1,0,nee,1
oor,3.5,3,1.5,1,nee,nee,1,0,nee,5
toe,3.5,3,1.5,1,nee,nee,1,0,nee,1
zie,3.5,3,1.5,1,nee,nee,1,0,nee,1
dokter,3.0,6,3.0,0,nee,nee,2,0,nee,4
helpen,3.0,6,3.0,0,nee,nee,2,0,nee,2
jezelf,3.0,6,3.0,0,nee,nee,2,0,nee,1
wakker,3.0,6,3.0,0,nee,nee,2,0,nee,1
werken,3.0,6,3.0,0,nee,nee,2,0,nee,1
worden,3.0,6,3.0,0,nee,nee,2,0,nee,1
zitten,3.0,6,3.0,0,nee,nee,2,0,nee,2
